0CM_CDT5,0VTYPE,0FISCPER,..._CURRCY,ZPI_SVL
648,52,2020013,CNY,1457679.6833927536
242,52,2018026,CNY,690093.7957058172
403,52,2018006,CNY,633421.0910120043
309,52,2020028,CNY,311508.87584201875
844,52,2018030,CNY,1649983.3577396215
175,52,2018040,CNY,1071701.4218131527
728,52,2019052,CNY,938376.1444624445
988,52,2019021,CNY,566449.7306169089
512,52,2018038,CNY,683926.1274652813
614,52,2018023,CNY,825187.9732430959
786,52,2020034,CNY,1236540.6517834975
966,52,2020005,CNY,1032279.8166589866
217,52,2019050,CNY,697718.6156323543
429,52,2020008,CNY,1099208.8327266164
802,52,2019014,CNY,636021.8566829509
970,52,2019018,CNY,121582.15427726886
115,52,2018014,CNY,1646030.0065706486
757,52,2020035,CNY,686872.8716712508
804,52,2020043,CNY,944637.7194201871
877,52,2019020,CNY,1259647.2324721676
41,52,2020035,CNY,1366537.6252348525
675,52,2019021,CNY,764973.97129349
396,52,2020028,CNY,1594523.1608496665
297,52,2019047,CNY,436804.42399196076
748,52,2020030,CNY,419713.4262757214
964,52,2020052,CNY,276933.7590922519
912,52,2020028,CNY,1553067.6854696611
168,52,2020040,CNY,100164.01927193771
172,52,2018038,CNY,415656.926769295
446,52,2018039,CNY,620583.4362212962
952,52,2018013,CNY,1040219.4637189623
547,52,2019031,CNY,1249504.5598334814
696,52,2018040,CNY,510505.23526108824
891,52,2018011,CNY,1169524.7043606944
53,52,2020001,CNY,842636.9360855583
449,52,2018047,CNY,815852.2315770694
858,52,2018022,CNY,1074185.003610113
434,52,2020038,CNY,1500432.7041693581
645,52,2020028,CNY,6067.647846169464
529,52,2019007,CNY,1343116.4568918315
590,52,2019028,CNY,278731.9589273638
978,52,2019047,CNY,397925.9563412128
701,52,2019001,CNY,451831.6218066991
16,52,2018038,CNY,297190.4434421717
951,52,2020005,CNY,815175.1899378705
464,52,2020043,CNY,1558102.0597584778
212,52,2019038,CNY,1437029.6615001168
145,52,2019035,CNY,243556.0139164333
528,52,2019001,CNY,266983.7050989408
933,52,2020052,CNY,147167.1463366394
460,52,2018024,CNY,1414920.9938477732
533,52,2019027,CNY,1220112.6430280774
906,52,2020002,CNY,105159.05771749005
666,52,2020045,CNY,320246.761423336
876,52,2019010,CNY,806980.8426705275
296,52,2018011,CNY,519904.8813387055
80,52,2019029,CNY,307484.2234795655
135,52,2019005,CNY,18446.384418440433
643,52,2019011,CNY,1295664.1576291404
69,52,2020028,CNY,161155.419593137
476,52,2020003,CNY,328367.7433912391
702,52,2018023,CNY,1171521.100206517
497,52,2018052,CNY,537494.7826551102
165,52,2020025,CNY,146175.05496152875
42,52,2018007,CNY,1556483.6468536116
234,52,2019041,CNY,1215802.3839676587
556,52,2018049,CNY,111654.47486160511
305,52,2018001,CNY,895563.3785618363
917,52,2018019,CNY,511068.20336812234
310,52,2020051,CNY,1751970.803813856
49,52,2019009,CNY,144693.75410668488
275,52,2018052,CNY,1425499.1491735454
642,52,2019035,CNY,76522.57956711986
376,52,2020032,CNY,1737902.8887960194
739,52,2018034,CNY,255799.05584398026
87,52,2020013,CNY,680718.0578834563
181,52,2019019,CNY,478579.19561696047
582,52,2018037,CNY,567629.3158699367
791,52,2019050,CNY,1635999.7568821614
399,52,2018011,CNY,30024.379177162555
833,52,2019033,CNY,952851.3431662393
732,52,2019032,CNY,859844.1422628628
17,52,2020039,CNY,929418.4726324204
386,52,2018043,CNY,1306042.0379308644
689,52,2020010,CNY,1717654.8838098422
623,52,2018015,CNY,181373.38012731064
672,52,2020012,CNY,1078694.0325034962
602,52,2018023,CNY,905507.362986355
159,52,2019011,CNY,598646.7685498968
209,52,2020044,CNY,969432.4183478081
73,52,2020048,CNY,990009.589973591
540,52,2019025,CNY,52086.20572552621
246,52,2020031,CNY,1700166.2735359215
627,52,2018009,CNY,380153.1673660573
5,52,2020006,CNY,216494.56327422388
501,52,2020049,CNY,414024.0112567708
383,52,2020013,CNY,626200.4725731068
966,52,2020027,CNY,17783.734681644684
806,52,2020008,CNY,643034.3129886375
38,52,2020049,CNY,469493.8621467066
933,52,2020037,CNY,1067402.0157622492
240,52,2018036,CNY,1041953.9138311188
342,52,2019039,CNY,1190398.0196474886
964,52,2020027,CNY,1135270.482294466
558,52,2019042,CNY,46738.2108936234
335,52,2020002,CNY,541291.6181366956
823,52,2020025,CNY,1255708.2451912467
351,52,2018022,CNY,631503.6433209989
955,52,2020039,CNY,1691709.9651028358
247,52,2020025,CNY,1407519.6547586594
238,52,2019005,CNY,1420844.4306669019
566,52,2020025,CNY,1588344.3855113527
602,52,2020031,CNY,260348.93112853466
779,52,2019005,CNY,1439552.3891563672
592,52,2020016,CNY,857032.6680909117
587,52,2019001,CNY,1671330.686552418
579,52,2020031,CNY,1326379.7271345044
912,52,2018012,CNY,1609822.2212012368
584,52,2020038,CNY,467267.69508492824
289,52,2018041,CNY,298531.11857682775
875,52,2019046,CNY,841675.2765667647
951,52,2020011,CNY,717595.5371233106
28,52,2018030,CNY,435824.4920702177
815,52,2018018,CNY,1750357.2060967581
335,52,2020020,CNY,513007.5224374896
280,52,2020018,CNY,352743.6942637888
506,52,2018048,CNY,1608333.5704702118
221,52,2018007,CNY,216903.48841523024
176,52,2020027,CNY,473274.58359289024
746,52,2019024,CNY,605373.3697829768
74,52,2020043,CNY,709723.5444176176
817,52,2018017,CNY,1006373.2003549654
912,52,2020013,CNY,1104456.9738556573
764,52,2019002,CNY,1388838.756098202
777,52,2020039,CNY,1043806.2088443298
279,52,2019012,CNY,1611862.5841343356
146,52,2018001,CNY,1355870.0228056733
993,52,2019034,CNY,53825.69703355271
840,52,2019047,CNY,217797.2629663124
90,52,2019028,CNY,728408.1341990818
779,52,2019039,CNY,451382.5265354352
445,52,2018041,CNY,1182470.747446645
729,52,2018029,CNY,1557154.8228765258
706,52,2020047,CNY,389654.4941153941
196,52,2019024,CNY,1008859.9899229036
142,52,2019019,CNY,1508421.6936914138
349,52,2020044,CNY,209967.65461114066
312,52,2019049,CNY,393166.328087
429,52,2020025,CNY,1620730.0477868374
285,52,2019047,CNY,421900.8719919715
151,52,2018015,CNY,842071.3135054929
431,52,2019011,CNY,894167.644038323
129,52,2019020,CNY,980266.7969779901
292,52,2019017,CNY,510885.07460218103
973,52,2018017,CNY,1193810.349035552
19,52,2018044,CNY,1663955.735513823
794,52,2020001,CNY,664780.7963517519
563,52,2018037,CNY,2188.6253118765812
64,52,2018026,CNY,1668645.6489123486
592,52,2019022,CNY,862313.1521728898
763,52,2019001,CNY,515210.10876791074
576,52,2020049,CNY,1181114.2787762585
791,52,2020038,CNY,1570840.9149857752
485,52,2020035,CNY,845085.6934805397
767,52,2020001,CNY,982691.0202151444
109,52,2018022,CNY,1716907.4696302393
782,52,2018045,CNY,1522734.6993957616
190,52,2020005,CNY,319909.31128940196
431,52,2019029,CNY,1131218.4752977605
2,52,2020016,CNY,859098.5308846101
100,52,2020021,CNY,980391.2654006137
702,52,2019051,CNY,1334780.9460202795
857,52,2020014,CNY,70769.08846666153
940,52,2018048,CNY,709996.1394361842
897,52,2019003,CNY,508510.22562938055
811,52,2018033,CNY,205772.17774561344
68,52,2020009,CNY,869772.1832930205
859,52,2020032,CNY,1033729.3460037743
323,52,2018030,CNY,721513.9423385941
87,52,2018044,CNY,1605208.710432813
127,52,2019033,CNY,1569881.9383888962
26,52,2018028,CNY,351692.14674076776
34,52,2020034,CNY,570790.5362949453
348,52,2019047,CNY,58559.748201319206
729,52,2020051,CNY,166365.36414405875
896,52,2018026,CNY,1262859.0414969474
274,52,2019007,CNY,1467759.5062999527
621,52,2020036,CNY,308598.0857215808
85,52,2020009,CNY,1754127.3884170894
615,52,2018026,CNY,875803.8845105671
549,52,2020026,CNY,804001.8103867675
407,52,2020022,CNY,444396.0166844747
840,52,2019026,CNY,1747756.7530096713
372,52,2020005,CNY,366464.18518394406
481,52,2020032,CNY,1261042.7172894892
800,52,2019049,CNY,711604.4837558371
101,52,2020003,CNY,1690714.8610912026
629,52,2019043,CNY,742129.8451766338
855,52,2020034,CNY,1129258.1820731997
298,52,2018028,CNY,1148440.1858285218
899,52,2019031,CNY,1632379.4533289934
456,52,2019028,CNY,631390.9533321543
817,52,2020044,CNY,1692735.383029479
715,52,2019048,CNY,1068360.0386077417
386,52,2018051,CNY,1399837.903997642
256,52,2019009,CNY,358997.9322646985
40,52,2019035,CNY,391052.88475090964
268,52,2019027,CNY,823599.6084383049
119,52,2019040,CNY,1370298.8700997692
244,52,2018023,CNY,1627199.0671659799
782,52,2018013,CNY,1105168.8505557103
298,52,2019015,CNY,452959.013589363
977,52,2020040,CNY,413072.07579171075
845,52,2018045,CNY,143321.91585312836
847,52,2019043,CNY,961472.4211792006
122,52,2018033,CNY,741845.0477745897
634,52,2020012,CNY,1657272.5872965252
176,52,2020048,CNY,1688253.1717233115
823,52,2020023,CNY,1607194.164080459
557,52,2018033,CNY,383551.29389960953
863,52,2018001,CNY,1504886.018619831
63,52,2019014,CNY,520068.46967955126
193,52,2019005,CNY,808155.6688302452
527,52,2020016,CNY,1135269.588106534
724,52,2020036,CNY,510326.92734070955
945,52,2019051,CNY,1346819.1676216586
486,52,2019023,CNY,1615789.7480555775
641,52,2018031,CNY,1571100.1114675996
37,52,2018050,CNY,125952.3067651802
733,52,2018011,CNY,1448323.436664757
351,52,2018004,CNY,1270055.7449373703
700,52,2020042,CNY,290509.91695411847
517,52,2019015,CNY,1323495.6930515117
448,52,2018012,CNY,128825.68663517977
915,52,2018017,CNY,464369.2436448401
910,52,2019037,CNY,248814.13315486078
720,52,2019026,CNY,1566391.7259569378
615,52,2019021,CNY,1535924.8796577058
916,52,2018049,CNY,1333863.837874089
139,52,2019042,CNY,1393631.5363563565
895,52,2019051,CNY,1078238.0506043744
631,52,2020008,CNY,165124.79348921293
356,52,2020042,CNY,1593179.771573258
811,52,2020034,CNY,1742882.8751704085
297,52,2020041,CNY,576043.0283346891
931,52,2019011,CNY,1670038.4396579734
964,52,2020020,CNY,933082.4790535346
174,52,2019017,CNY,1452989.4470220343
360,52,2019009,CNY,408540.226661126
662,52,2018044,CNY,578566.3452558499
238,52,2020031,CNY,1596334.5389936648
922,52,2019034,CNY,1509640.4169154316
901,52,2020040,CNY,708574.1832299206
691,52,2019015,CNY,920308.2624213557
253,52,2019032,CNY,299930.01457662735
885,52,2019044,CNY,1050887.0964368952
771,52,2020035,CNY,1489070.051919272
248,52,2019020,CNY,1575586.6298213745
179,52,2020052,CNY,397117.87655013625
473,52,2018022,CNY,111722.0718199526
361,52,2019021,CNY,1222665.6921298848
543,52,2018042,CNY,1533580.9201697288
139,52,2019037,CNY,1571801.5394446482
884,52,2019008,CNY,1142741.3418385028
326,52,2018027,CNY,759934.4577746161
854,52,2018037,CNY,457579.0807729915
568,52,2020032,CNY,1193597.3951805728
356,52,2019045,CNY,368126.39789342537
104,52,2019008,CNY,1146657.433638389
388,52,2019034,CNY,652416.9926324221
414,52,2020051,CNY,203139.48846838268
482,52,2018008,CNY,1270567.9887381813
176,52,2019036,CNY,1666328.5600916895
73,52,2020017,CNY,549235.9866815101
955,52,2020047,CNY,609993.4934594353
497,52,2019016,CNY,541268.9910155009
965,52,2019052,CNY,1362428.1787112686
281,52,2020033,CNY,862754.1744488281
539,52,2018004,CNY,1074735.0707412579
970,52,2020041,CNY,135825.29110738673
550,52,2020033,CNY,576815.3618095206
509,52,2018052,CNY,1048348.4889145158
21,52,2019015,CNY,1548185.3286307368
875,52,2019007,CNY,783624.4047408091
218,52,2018046,CNY,286117.20794614084
380,52,2020007,CNY,1283052.6974194685
738,52,2019012,CNY,1380903.3126917616
467,52,2019036,CNY,281970.7119658749
192,52,2018033,CNY,572069.6979782081
115,52,2018035,CNY,1047734.4937222595
490,52,2020042,CNY,621695.5744706475
137,52,2020023,CNY,1446123.1205777605
799,52,2018012,CNY,1666495.004630578
859,52,2019012,CNY,160297.90873209297
71,52,2018022,CNY,314379.0440856727
611,52,2020001,CNY,1013233.4389935292
652,52,2018011,CNY,1725255.8964556847
306,52,2018037,CNY,239816.08675718814
537,52,2018036,CNY,1228033.9880158005
464,52,2020021,CNY,696063.6421734461
247,52,2020021,CNY,953574.78440604
137,52,2019037,CNY,246230.59840483006
507,52,2020048,CNY,1714780.1853431582
67,52,2020017,CNY,649006.4205670907
710,52,2019050,CNY,1625041.2180271205
532,52,2019039,CNY,890023.2823886662
556,52,2018040,CNY,1446042.2063935352
918,52,2018013,CNY,1282934.4723816148
971,52,2020035,CNY,913783.2361632081
703,52,2019041,CNY,821017.6771922007
519,52,2019040,CNY,1347304.3097292152
501,52,2019030,CNY,149559.4355172582
352,52,2020015,CNY,1263007.7497821825
555,52,2020043,CNY,452215.51063821814
223,52,2020030,CNY,1261721.9446339544
904,52,2019043,CNY,390111.06574402476
456,52,2020045,CNY,1187920.2630219737
528,52,2019049,CNY,412989.3813600691
325,52,2020031,CNY,1630617.8321474844
472,52,2020051,CNY,1620579.168636637
914,52,2019021,CNY,1322086.247316546
81,52,2018002,CNY,921653.7415877195
965,52,2018003,CNY,797695.7857761738
65,52,2019050,CNY,262679.7802494811
859,52,2019040,CNY,995428.503670122
138,52,2019015,CNY,489029.15581276146
479,52,2020001,CNY,709847.1050990603
234,52,2018018,CNY,380932.499519152
293,52,2020032,CNY,86862.9138041387
721,52,2019026,CNY,1466296.3260212282
809,52,2019015,CNY,443362.5422009279
177,52,2018040,CNY,1541025.7008647937
544,52,2019046,CNY,176100.2853307879
574,52,2018006,CNY,352548.64609141316
583,52,2020046,CNY,1135865.2102508403
974,52,2018025,CNY,713693.2280536558
450,52,2018027,CNY,429205.1502191824
971,52,2020022,CNY,66893.17838272489
15,52,2018050,CNY,715658.9284460485
391,52,2020005,CNY,788010.4101316605
234,52,2020020,CNY,1626385.7476724228
313,52,2020012,CNY,1077244.2650153341
988,52,2019045,CNY,348427.45222129964
824,52,2019045,CNY,1487592.8760483037
725,52,2018019,CNY,1322199.11417986
639,52,2018029,CNY,832114.8499647578
87,52,2018036,CNY,1738817.5338496123
38,52,2020002,CNY,1649162.43811174
927,52,2019032,CNY,524657.3151889435
40,52,2020049,CNY,50794.85845567112
993,52,2020033,CNY,1178535.3420453935
61,52,2020051,CNY,91815.38178044857
991,52,2019033,CNY,1305325.403757301
313,52,2018029,CNY,1632235.4988674284
263,52,2018011,CNY,962118.7876561852
895,52,2019044,CNY,1069682.025473618
658,52,2018043,CNY,915844.416063557
57,52,2019022,CNY,556255.7319607211
793,52,2019045,CNY,1124180.2664796389
983,52,2020016,CNY,936966.7022815038
843,52,2019022,CNY,1753477.2411876952
637,52,2018041,CNY,1611995.8814766707
847,52,2019019,CNY,1701768.730186554
128,52,2020038,CNY,1244130.1870535521
710,52,2020041,CNY,172402.99799508936
276,52,2018036,CNY,182849.39018378343
153,52,2018008,CNY,950586.3692829491
997,52,2020023,CNY,1276756.8058241599
79,52,2019038,CNY,1449340.0887803878
977,52,2019024,CNY,346021.1989631263
375,52,2019025,CNY,1513371.6690970266
368,52,2019050,CNY,144470.92546214352
913,52,2020009,CNY,431344.7547562303
988,52,2020007,CNY,785771.5172159025
122,52,2019034,CNY,1601144.7881096557
38,52,2019016,CNY,1592176.1044001288
53,52,2020035,CNY,450778.06953334395
45,52,2018046,CNY,1660714.7492576016
612,52,2019024,CNY,873592.5455513382
137,52,2019028,CNY,961156.9613462236
40,52,2019013,CNY,162290.54819566457
236,52,2020035,CNY,790869.8693091671
304,52,2018014,CNY,1011829.9875815925
450,52,2019050,CNY,1728008.758935991
987,52,2019022,CNY,987473.0424813716
142,52,2020013,CNY,388114.9020008926
641,52,2020005,CNY,597762.1701274277
919,52,2019006,CNY,879647.6115330051
986,52,2018028,CNY,1492670.5209751881
798,52,2018013,CNY,1225940.4585897794
260,52,2019043,CNY,317652.9318245519
988,52,2019033,CNY,962760.2888634697
568,52,2018033,CNY,1124870.9033330402
348,52,2018052,CNY,755652.6034799175
840,52,2019025,CNY,725416.3410863219
307,52,2018017,CNY,1133923.1882870095
490,52,2020030,CNY,748020.3781313617
748,52,2019050,CNY,1208990.399136431
583,52,2019006,CNY,753533.2579592254
180,52,2018021,CNY,857010.2365000291
244,52,2018046,CNY,1053110.22033441
31,52,2020044,CNY,1044217.9361837751
489,52,2018039,CNY,494021.0244301868
456,52,2019027,CNY,55833.55715224696
430,52,2019006,CNY,129107.61974572837
333,52,2018039,CNY,1491748.956745008
625,52,2020007,CNY,1766241.866207639
605,52,2019020,CNY,1326606.5020936008
548,52,2018029,CNY,277926.5551416627
99,52,2019027,CNY,311894.7458633399
130,52,2020006,CNY,832103.4924887419
194,52,2020031,CNY,92751.19548553902
557,52,2020034,CNY,1537984.5735872034
442,52,2020048,CNY,1579626.8048458092
771,52,2018044,CNY,647146.1225126637
52,52,2019041,CNY,717787.7885347933
127,52,2019001,CNY,1365875.3103302324
917,52,2018016,CNY,142138.92843150953
918,52,2019051,CNY,469252.2805740037
910,52,2020033,CNY,855667.5986138487
690,52,2019002,CNY,856350.7865587396
556,52,2018018,CNY,94615.54378663206
94,52,2018017,CNY,968551.1703663318
244,52,2020031,CNY,385651.8812892384
514,52,2018010,CNY,369942.69913906674
519,52,2020052,CNY,1550962.8725579432
644,52,2018011,CNY,1475676.322185339
304,52,2019036,CNY,589216.7537196799
455,52,2018034,CNY,1367787.5785012345
861,52,2018025,CNY,765910.2896154877
769,52,2020042,CNY,1198997.8945576004
218,52,2019003,CNY,344147.2386822834
608,52,2019020,CNY,500008.28637012193
789,52,2019043,CNY,1159716.719070454
684,52,2020028,CNY,1742547.5175217914
481,52,2018007,CNY,841859.1126072621
63,52,2019046,CNY,1304320.4895438147
736,52,2018006,CNY,788068.333662323
515,52,2018032,CNY,546112.9032077183
173,52,2019041,CNY,1442888.9638473727
474,52,2019003,CNY,1721395.2665530385
922,52,2018005,CNY,1390106.4219435009
901,52,2018014,CNY,1590267.0731145765
690,52,2020015,CNY,520313.1034258099
970,52,2018013,CNY,1196638.5689902487
178,52,2018039,CNY,27988.817932305392
258,52,2020038,CNY,827122.0089890583
360,52,2020050,CNY,1281408.3862601798
515,52,2018013,CNY,570290.9826902276
449,52,2020022,CNY,963324.1786291562
631,52,2020034,CNY,561310.9852475805
387,52,2020050,CNY,1330029.3883808563
46,52,2018019,CNY,945299.8926474793
342,52,2018049,CNY,831160.5548707428
73,52,2019038,CNY,677844.3331503636
484,52,2018018,CNY,1606509.8093528678
212,52,2018024,CNY,337609.30721685785
29,52,2019001,CNY,654506.4326787731
698,52,2018045,CNY,1476538.683158653
967,52,2020035,CNY,598298.0769573055
722,52,2018042,CNY,1368709.842395923
836,52,2018012,CNY,784348.4755858268
972,52,2020042,CNY,634926.4952385973
264,52,2019008,CNY,25019.053527504395
104,52,2019032,CNY,1232501.069270694
975,52,2018014,CNY,465567.0259957216
527,52,2018005,CNY,867636.0861346492
230,52,2018001,CNY,881942.0916722425
817,52,2018022,CNY,1536245.7908820391
422,52,2020047,CNY,698026.122522508
174,52,2018034,CNY,987304.354616435
899,52,2019027,CNY,429813.09409349586
456,52,2020048,CNY,467313.1293670957
522,52,2020044,CNY,1118438.6160761898
154,52,2018018,CNY,240051.5524846295
717,52,2020011,CNY,1703044.4956143321
802,52,2018017,CNY,1033738.7052166284
648,52,2020005,CNY,1385438.6487534116
929,52,2019032,CNY,422031.4046464914
310,52,2020002,CNY,1105110.3252977666
54,52,2018040,CNY,1419893.6300018134
31,52,2018007,CNY,659345.7478701144
138,52,2019031,CNY,1542267.9448045953
773,52,2018033,CNY,1661909.9536789428
49,52,2018035,CNY,1701157.6042961844
